item_id,url
QQVSFzWvsLgQ93,https://thinkingmachines.ai/blog/lora/
QzD9Rt2lnMH7rH,https://www.pysquad.com
RFP5WVCqHmjjod,https://towardsdatascience.com/building-video-game-recommender-systems-with-fastapi-postgresql-and-render-part-1/
Rg-QLWaqxk3XuF,https://proandroiddev.com/understanding-retain-internals-a-new-way-to-preserve-state-in-jetpack-compose-54471a32fd05
Rz0BqLrcXkusTG,https://medium.com/@debasishraut.dev/modern-uis-with-jetpack-compose-your-complete-guide-to-background-modifiers-and-beautiful-visual-d45cd26984c3
U6ZBnKsrJO5MYG,https://www.kalzumeus.com/2010/06/17/falsehoods-programmers-believe-about-names/
USGsDNnu4Slq3E,https://cefboud.com/posts/code-binaries-bytecode-shared-libs/?utm_source=www.programmerweekly.com&utm_medium=newsletter&utm_campaign=programmer-weekly-issue-275-october-30-2025&_bhlid=bf2b8c2c93f81379f0370969926252cda177561e
Uwt96537KiJatV,https://medium.com/@neerupujari5/i-optimized-our-docker-images-from-2gb-to-50mb-heres-how-de9c7458b4d7
V2bmqcQho2yQci,https://ut21.github.io/blog/triton.html
VA0OO_4SBTytI3,https://scatterarrow.com/content/en/all-your-coworkers-are-probabilistic.html?utm_source=tldrnewsletter
VmLgPP3M7pm9bp,https://www.krupadave.com/articles/everything-about-transformers
WHc0anCkFdHZDU,https://huggingface.co/spaces/HuggingFaceTB/smol-training-playbook
X-9MHpverY3DUL,https://frontendmasters.com/blog/modern-css-round-out-tabs/
X9R-b0e92NGEaL,https://asteriskmag.com/issues/12-books/the-china-tech-canon?utm_source=tldrnewsletter
XZ86iVcQIsMwX2,https://blog.sshh.io/p/how-i-use-every-claude-code-feature?utm_source=bonobopress&utm_medium=newsletter&utm_campaign=2159
XdNckYXPZaJ1Pg,https://medium.com/@snishanthdeveloper/mastering-collapsing-toolbar-with-jetpack-compose-the-modern-way-material-3-lazycolumn-59c52c70a005
XfDerGHVlIMl8R,https://www.sqlstyle.guide
YDefLQH1Hs4-G2,"https://next-intl-docs.vercel.app/blog/date-formatting-nextjs#203:%20Server%20Functions,%20DevTools,%20Next.js,%20React-Query,%20React%20Router,%20React-Aria,%20Vaul,%20Remotion,%20Skia,%20Native%20Tabs,%20Godot,%20CodePush,%20void(0),%20Oxc,%20Node.js,%20Tauri... - 15199826"
